"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.150028,,
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.731564,,
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.704128,,
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,-1.914191,,
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2022","2022","PC","Percentage","0","Units",,,3.723643,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.06164468,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.3947693,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.348243,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.850248,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.338586,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.326744,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,5.110965,,
"HUN","Hungary","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2022","2022","PC","Percentage","0","Units",,,14.60814,,
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.6483377,,
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.9499921,,
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.664664,,
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.7895858,,
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,4.049429,,
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.889179,,
