"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2018-Q1","Q1-2018","IDX","Index","0","Units","2015_100","2015=100",98.84022,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2018-Q2","Q2-2018","IDX","Index","0","Units","2015_100","2015=100",99.25748,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2018-Q3","Q3-2018","IDX","Index","0","Units","2015_100","2015=100",99.47118,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2018-Q4","Q4-2018","IDX","Index","0","Units","2015_100","2015=100",99.90747,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",100.1793,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",100.1867,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",99.92707,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",100.2085,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",100.3068,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",100.0123,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",99.63123,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",99.00656,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",98.87465,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",99.87691,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2015-Q1","Q1-2015","IDX","Index","0","Units","2015_100","2015=100",97,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2015-Q2","Q2-2015","IDX","Index","0","Units","2015_100","2015=100",100.9333,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2015-Q3","Q3-2015","IDX","Index","0","Units","2015_100","2015=100",98.83334,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2015-Q4","Q4-2015","IDX","Index","0","Units","2015_100","2015=100",103.1667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2016-Q1","Q1-2016","IDX","Index","0","Units","2015_100","2015=100",98.9,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2016-Q2","Q2-2016","IDX","Index","0","Units","2015_100","2015=100",103.2,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2016-Q3","Q3-2016","IDX","Index","0","Units","2015_100","2015=100",100.9,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2016-Q4","Q4-2016","IDX","Index","0","Units","2015_100","2015=100",104.1667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2017-Q1","Q1-2017","IDX","Index","0","Units","2015_100","2015=100",99.86667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2017-Q2","Q2-2017","IDX","Index","0","Units","2015_100","2015=100",103.2667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2017-Q3","Q3-2017","IDX","Index","0","Units","2015_100","2015=100",100.9667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2017-Q4","Q4-2017","IDX","Index","0","Units","2015_100","2015=100",103.9,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2018-Q1","Q1-2018","IDX","Index","0","Units","2015_100","2015=100",100.2,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2018-Q2","Q2-2018","IDX","Index","0","Units","2015_100","2015=100",103.3333,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2018-Q3","Q3-2018","IDX","Index","0","Units","2015_100","2015=100",101.1,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2018-Q4","Q4-2018","IDX","Index","0","Units","2015_100","2015=100",104,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",100.2667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",103.3333,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",101.4667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",105.3333,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",101.5,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",104.7333,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",102.8667,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",105.8,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",102.5,,
"JPN","Japan","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",105.0333,,
"JPN","Japan","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","Q","Quarterly","2015-Q1","Q1-2015","IDX","Index","0","Units","2015_100","2015=100",100.292,,
"JPN","Japan","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","Q","Quarterly","2015-Q2","Q2-2015","IDX","Index","0","Units","2015_100","2015=100",100.0973,,
